Text,Label,Score
How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door. #angry #mad ##,anger,0.938
So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted ,anger,0.8959999999999999
@DPD_UK I asked for my parcel to be delivered to a pick up store not my address #fuming #poorcustomerservice,anger,0.8959999999999999
so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed #angry #upset #tired #sad #tired #hangry ######,anger,0.8959999999999999
"Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! #fuming",anger,0.8959999999999999
My blood is boiling,anger,0.875
When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us 😭😭 @__KirstyGA #raging #oldcunt,anger,0.875
"@bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. #fuming",anger,0.875
"@TeamShanny legit why i am so furious with him, people are such fucking idiots.",anger,0.875
How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. ,anger,0.875
im so mad about power rangers. im incensed. im furious.,anger,0.667
Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! #fuming,anger,0.8540000000000001
Bitches aggravate like what inspires you to be the biggest cunt known to man kind?,anger,0.8540000000000001
"Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages #raging",anger,0.938
Fuking fuming 😤,anger,0.8540000000000001
Zero help from @ups customer service. Just pushing the buck back and forth and promising callbacks that don’t happen. #anger #loathing,anger,0.8540000000000001
@ArizonaCoyotes not to mention the GRA guy stops me but let's the 2 ppl in front of me go. WTF. My blood is boiling.,anger,0.8540000000000001
"I hate my lawn mower. If it had a soul, I'd condemn it to the fiery pits of Hell.",anger,0.833
why are people so offended by kendall he ends photo shoot like seriously shut the fuck up,anger,0.833
I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn ,anger,0.812
Making my buddy cry !! Bitch wait for revenge 🤗👌🏻,anger,0.812
Bes! You don't just tell a true blooded hoopjunkie to switch a f*c@n' team that juz destroyed your own team. You juz don't! #insult,anger,0.8909999999999999
I got a NO RESPONSE again from an #irate customer of #amazon 😞😞\nwhy can't they understand that it's not always amazon fault..\n#carrierfault,anger,0.812
"Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick! #rage #wtf  #murder",anger,0.812
"@LeKingCoq @MistaAggy @GiovanniiDC The way my blood is boiling, little bastards!",anger,0.792
Actually fuming I have nothing to wear Saturday,anger,0.792
.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine. #angry #fuming,anger,0.792
Bloody parking ticket 😒💸 #fuming,anger,0.792
You ever just find that the people around you really irritate you sometimes? That's me right now 😒,anger,0.792
I get so angry at people that don't know that you don't have a stop sign on Francis and you do at Foster #road ,anger,0.792
"This fuck you is boiling up inside, its not gonna be good when I let it out.",anger,0.792
@VodafoneUKhelp @VodafoneUK wow!! My bill is £44.77 and hav a text from u to prove that and you have taken £148!!!!! #swines #fuming #con!,anger,0.792
I blame the whole season on Natalie! The season would have been so different had she not turned her back on her alliance! #pissed ,anger,0.792
Since the 'update' my @iPhone loses power nearly 40% faster.  #furious,anger,0.792
@bringyouhome2 I'm about to fly into a fit of rage it's not FAIR,anger,0.792
Unbelievable takes 10 minutes to get through to @BarclaysUK then there's a fault and the call hangs up #fuming #treatcustomersfairly,anger,0.792
@ggreenwald @SusanSarandon We are blaming 5% of the fucking idiots who are putting the World in the middle of their tantrums. You are one.,anger,0.792
@SunandBeachBum 'you people' infuriate me!,anger,0.792
@rtrn94 Mine is that the party did decide but the party has been slowly transformed into a vengeful hell-cult of white male resentment,anger,0.792
So #angry about my @WishShopping order. 6 #months ago I placed an order of over $500. Card billed. Never #received \n#disappointing,anger,0.7709999999999999
Still can't log into my fucking Snapchat#Snapchat #snap,anger,0.9
@ThomsonCares Sam- yes we have! Not helpful at all! We need this sorting ASAP! You keep promising stuff that doesn't happen!!!! #fuming,anger,0.7709999999999999
"SOMEONE LET SNAKES IN MY HOUSE, I BET IT @Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM #rage #HuckFP2",anger,0.7709999999999999
so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed  #upset #tired #sad #tired #hangry ######,anger,0.7709999999999999
"Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages ",anger,0.733
i feel furious,anger,0.7709999999999999
Some Mexican ladies irritate the fuck outta me. Have a their own lil preschool of fucking kids for the welfare &amp; allllat smh.,anger,0.7709999999999999
Still can't log into my fucking Snapchat #Snapchat ,anger,0.7709999999999999
I blame the whole season on Natalie! The season would have been so different had she not turned her back on her alliance! #pissed #bitter,anger,0.7709999999999999
People irritate my MF soul,anger,0.7709999999999999
Im so angry 😂🙃,anger,0.75
People fuckin irritate me,anger,0.75
"@leesyatt you are a cruel, cruel man. #therewillbeblood #revenge",anger,0.84
That way ur so angry you can literally feel ur blood boiling,anger,0.75
@KatzeAnilothei this amount of greedy mooching makes me snarl.,anger,0.75
My mind is raging and i just want to end it all,anger,0.75
Absolutely fuming that some woman jumped into my prebooked taxi and drove off 😡,anger,0.75
I'm nothing but a hateful and bitter fag,anger,0.75
@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time! #angry #notfair #whypay,anger,0.75
@JrDingy96 Ikr people still got a grudge against him for no reason like wtf?!,anger,0.75
@lynnew69 then he said talking about wills uncontrollable animals when moving to another link. These comments do not help! #fuming,anger,0.75
@paulbushnell25 @EE bad news if ordered online it hasn't gone through same happened to me had to re order on the phone #furious,anger,0.8440000000000001
So angry I wanna cry😢😢😢,anger,0.75
OOOOOOOOH MY GOD UUUUGGGGHHHHHHHHH ,anger,0.75
Boycotting @DunkinDonuts till butter pecan comes back. I am furious,anger,0.75
"In 2016, Black people are STILL fighting to be recognized as human beings. #cantsleep #angry",anger,0.885
my mom cut my phone off and I'm so furious 🤗,anger,0.75
Once again the only thing on my feed is naay raging about something and my brother filling in all the gaps,anger,0.75
can't believe Achilles killed me! #angry,anger,0.75
I lost a couple niggas I want revenge so put me in coach,anger,0.875
@mjmralph then it's poor packaging my Amazon and the fulfilled seller should be furious as much as you 😕,anger,0.75
Where's your outrage when a black man kills another black man in the streets?,anger,0.75
it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger,0.75
Absolutely fuming I've just scratched all my car 😡😡😡😡😡😡,anger,0.75
@Ms_HeartAttack holy shit it just a bee sting like fuck you're not dying,anger,0.5529999999999999
How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door.  #mad ##,anger,0.7290000000000001
I dislike people who get offended by the littlest shit .,anger,0.7290000000000001
"What the fuck am I supposed to do with no lunch, no dinner, no money and I'm off to work #furious #hangry #day5",anger,0.7290000000000001
"@justyne_haley it does. if one person ruins season 13 for me, I will be so angry",anger,0.7290000000000001
"What the fuck am I supposed to do with no lunch, no dinner, no money and I'm off to work  #hangry #day5",anger,0.7290000000000001
@firstleeds not only are your buses unreliable your e ticket app is too unable to get on two buses and late for work #fuming #useless reply,anger,0.8640000000000001
So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted #offended,anger,0.7290000000000001
"The liberal outrage over don king saying the N-word really angers me. The white yuppie progressives can go fuck themselves, shame on blacks",anger,0.863
Just paid for chicken at @panerabread and didn't even get any 😑😑😑 there goes 4 dollars and me as a customer #angry,anger,0.7290000000000001
but that was a mistake and a half assed excuse and now here i am burning in hell forever,anger,0.7290000000000001
@ManUtd you have had from me over the years is irrelevant. Its an absolute joke. #manutd #ticketing #fuming #noloyalty #joke #notimpressed,anger,0.873
@hollyrobinson__ Part 2-was buzzing for a cheeky squashie or two-this was NOT what i expected.SORT IT OUT! #food #angry  @coopuk @coopukfood,anger,0.5379999999999999
"Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick!  #wtf #murder",anger,0.7290000000000001
Bes! You don't just tell a true blooded hoopjunkie to switch a f*c@n' team that juz destroyed your own team. You juz don't! ,anger,0.7290000000000001
@ChurdAllan fucked my coupon that goal! #raging,anger,0.7290000000000001
LVG bribed all the refs against Utd for his own personal revenge. That was a foul you prick.,anger,0.7290000000000001
"Now that the whole clown rage has scared me shitless, I'm gonna go cry in my room",anger,0.7290000000000001
Worst juror ever? Michelle. You were Nicole's biggest threat. #bitter #bb18,anger,0.7290000000000001
Your twitter picture just makes me fume.,anger,0.7290000000000001
"@leesyatt you are a cruel, cruel man. #therewillbeblood ",anger,0.775
"That's really it for my madden career that game sucks , ea sports does a piss poor job every year on that shit",anger,0.867
"@NeoFundie @fitchest Ha. Right. I'm from San Jose, CA, and I was offended right there with you. Dave, go on a walk or something next time.",anger,0.831
@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time!  #notfair #whypay,anger,0.708
I wonder what American city will be next to protest about police shootings. Who's next? Smh. #whenwillitstop #angry #howmanymoretimes,anger,0.708
@politico @realDonaldTrump another angry white man!,anger,0.708
Have wee pop socks on and they KEEP FALLING OFF INSIDE MY SHOES #rage,anger,0.759
"The majority of people irritate the fuck out of me, cba with people ahahah",anger,0.862
@oscar_perria a multimillionaire spoiled brat who gets In a self righteous huff bc his friend is Muslim is a non starter bye!,anger,0.708
Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! ,anger,0.708
@kingvee_ don't provoke me to anger,anger,0.708
You complain all the time and then wonder why people never want to see you. You acc rile me up. Stfuuu!!!!,anger,0.708
Bloods boiling,anger,0.708
"Leave it on there, rule,nimber 1 of carpet cleaning!!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet",anger,0.708
@DarkLuneFantasy wallah my blood is boiling I need to take a nap ugh,anger,0.8170000000000001
I swear if @devincameron23 blocks me I'm going to hit her back ,anger,0.708
"@jennylhowe I am angry at the student for being a racist, and the teacher for not stopping it, and at the class for letting it go by.",anger,0.708
I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn #rage,anger,0.708
I'm just a fuming ball of anger today 🙃,anger,0.708
I didn't find out about this till today due to my bff telling me. I am so disgusted and offended by this.,anger,0.75
@VerizonSupport thanks for saying My wife and I were getting our iphones today and then losing both of them with no ETA #thanks #angry,anger,0.688
A @FirstBSA not turning up? Why am I not surprised. Late for work again! #fuming,anger,0.688
Police Officers....should NOT have the right to just 'shoot' human beings without provocation. It's wrong.\n\n@ORConservative @MichaelaAngelaD,anger,0.688
angry already,anger,0.688
... flat party and I instantly get bollocked about it. #fuming,anger,0.69
@XemitSellsMagic add tracking but resent them,anger,0.688
@FoxNews @SheriffClarke @FoxNewsInsider This man is an affront to our justice system.,anger,0.688
